SA,AA,CA,UAW,SUC,AUC,CUC,UUCW,TCF,ECF,Size,Effort
0,0,3,9,3,10,6,205,0.85,0.89,161.89,742
0,0,4,12,4,5,6,160,0.82,0.79,111.42,614
0,0,3,9,3,2,5,115,0.85,0.88,92.75,492
0,0,2,6,3,7,0,85,0.78,0.51,36.2,277
0,1,4,14,4,15,23,515,0.94,1.02,507.21,3593
0,0,4,12,0,14,3,185,1.03,0.8,162.33,1681
1,1,3,12,0,20,6,290,0.71,0.73,156.53,1344
0,0,3,9,2,5,6,150,1.05,0.95,158.6,1220
0,0,4,12,1,13,0,135,0.78,0.79,90.58,720
0,2,0,4,2,2,2,60,0.96,0.96,58.98,514
0,0,5,15,6,10,2,160,0.9,0.91,143.33,397
0,0,5,15,0,13,15,355,1.125,0.77,320.51,3684
2,2,4,18,4,2,7,145,1.08,0.77,135.55,1980
1,1,3,12,1,8,16,325,1.095,0.95,350.56,3950
0,0,2,6,0,3,4,90,1.02,1.085,106.24,1925
0,0,3,9,1,6,4,125,1.025,0.98,134.6,2175
0,0,3,9,1,7,3,120,1.118,0.995,143.5,2226
0,0,4,12,0,11,6,200,1,0.92,195.04,2640
0,0,3,9,2,9,5,175,0.95,0.92,160.82,2568
0,0,4,12,2,10,9,245,0.89,1.19,272.19,3042
0,0,2,6,0,5,6,140,0.965,0.755,106.37,1696
1,0,2,7,2,8,6,180,0.81,0.84,127.23,3670
1,0,2,7,0,11,3,155,0.9,0.94,137.05,2860
0,0,5,5,1,10,7,210,0.72,0.67,103.72,2740
0,0,2,6,2,15,12,340,0.8,0.74,204.83,3360
