Target Dataset,#1,,,,,,,,,,,,
Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,,
0,0,4,12,0,14,3,185,1.03,0.8,84.05,1681,1694.21,1516.90673190543
1,1,3,12,0,20,6,290,0.71,0.73,67.2,1344,1676.35,1635.20275858989
0,0,3,9,2,5,6,150,1.05,0.95,61,1220,2200.14,2135.31215821013
0,0,4,12,1,13,0,135,0.78,0.79,36,720,2475.27,2343.25607753399
0,2,0,4,2,2,2,60,0.96,0.96,25.7,514,2494.16,2458.09479528353
0,0,5,15,6,10,2,160,0.9,0.91,19.85,397,1082.245,852.201886482892
0,0,5,15,0,13,15,355,1.125,0.77,184.2,3684,931.2,875.452475123578
2,2,4,18,4,2,7,145,1.08,0.77,99,1980,1310.395,1107.74459065481
1,1,3,12,1,8,16,325,1.095,0.95,197.5,3950,1033.455,932.976485515578
0,0,2,6,0,3,4,90,1.02,1.085,96.25,1925,746.355,681.341373046581
0,0,3,9,1,6,4,125,1.025,0.98,108.75,2175,700.463,630.750431794541
0,0,3,9,1,7,3,120,1.118,0.995,111.3,2226,298.27,220.377035328094
0,0,4,12,0,11,6,200,1,0.92,132,2640,336.22,288.4233506497
0,0,3,9,2,9,5,175,0.95,0.92,128.4,2568,315.43,207.02943003351
0,0,4,12,2,10,9,245,0.89,1.19,152.1,3042,1216.08,1159.46108414642
0,0,2,6,0,5,6,140,0.965,0.755,84.8,1696,873.16,815.610821899759
1,0,2,7,2,8,6,180,0.81,0.84,183.5,3670,50.19,27.6772921363344
1,0,2,7,0,11,3,155,0.9,0.94,143,2860,209.26,128.144594111496
0,0,5,5,1,10,7,210,0.72,0.67,137,2740,736.11,536.892920888328
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Closest Projects,,,,,,,,,,,,,
Index,Effort,,,,,,,,,,,,
#96,50.19,,,,,,,,,,,,
#97,209.26,,,,,,,,,,,,
,,,,,,,,,,,,,
Average,129.725,,,,,,,,,,,,
