Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,,
0,0,2,6,0,14,8,260,0.98,0.97,296.35,5927,4477.41,4083.41463915924
0,1,5,17,3,18,19,480,0.85,0.89,294.25,5885,4482.36,4080.87981526043
1,1,5,18,5,16,20,485,1.08,0.77,294.1,5882,4293.32,4067.4430612118
0,0,2,6,1,14,12,325,0.72,0.67,294,5880,4483.34,4078.9029241942
2,2,4,18,3,26,14,485,0.82,0.79,294,5880,4292.43,4063.71162373759
1,1,1,6,1,10,15,330,0.96,0.96,293.8,5876,4295.41,4060.73332235694
0,0,2,6,0,3,20,330,0.85,0.89,293.65,5873,4464.555,4063.95203949616
1,1,5,18,3,17,20,485,1.095,0.95,293.25,5865,4457.23,4061.50896087279
0,0,6,18,2,17,20,480,0.965,0.755,293.15,5863,4451.46,4054.53784920057
1,1,5,18,3,21,17,480,0.98,0.97,292.8,5856,4372.51,3996.98638557851
0,3,4,18,2,18,18,460,1.05,0.95,290,5800,4477.34,3998.5041037368
1,2,4,17,1,23,22,565,1.03,0.8,289.55,5791,4377.38,3980.41996904849
0,2,5,19,5,30,10,475,0.95,0.92,289.1,5782,4112.43,3962.31272547991
0,0,2,6,5,15,5,250,1,0.92,288.9,5778,4350.41,3972.07831182871
2,2,4,18,5,18,17,460,0.85,0.89,288.75,5775,1514.23,1246.54243750464
0,0,4,12,0,18,13,375,0.92,0.78,151.85,3037,149.43,103.937937732091
0,2,2,10,9,1,2,85,0.75,0.81,95.85,1917,652.52,645.007163526112
0,0,2,6,3,4,4,115,0.9,1.05,58.65,1173,1181.41,1079.77919747511
0,0,3,9,3,10,6,205,0.85,0.89,37.1,742,1266.34,1204.87097442008
0,0,4,12,4,5,6,160,0.82,0.79,30.7,614,1340.4,1326.01587803465
0,0,3,9,3,2,5,115,0.85,0.88,24.6,492,1579.2,1541.29654025434
0,0,2,6,3,7,0,85,0.78,0.51,13.85,277,2218.47,1819.67035797696
0,1,4,14,4,15,23,515,0.94,1.02,179.65,3593,228.34,154.259740697306
0,0,4,12,0,14,3,185,1.03,0.8,84.05,1681,678.39,505.533458141002
1,1,3,12,0,20,6,290,0.71,0.73,67.2,1344,644.51,599.049385693701
0,0,3,9,2,5,6,150,1.05,0.95,61,1220,1140.38,1098.2358924202
0,0,4,12,1,13,0,135,0.78,0.79,36,720,1367.43,1305.1671007576
0,2,0,4,2,2,2,60,0.96,0.96,25.7,514,1490.38,1421.76514354516
0,0,5,15,6,10,2,160,0.9,0.91,19.85,397,2142.405,1881.45424662015
0,0,5,15,0,13,15,355,1.125,0.77,184.2,3684,221.36,165.417854538136
2,2,4,18,4,2,7,145,1.08,0.77,99,1980,2368.555,2142.37069138956
1,1,3,12,1,8,16,325,1.095,0.95,197.5,3950,141.615,109.960373430614
0,0,2,6,0,3,4,90,1.02,1.085,96.25,1925,376.515,357.172486937334
0,0,3,9,1,6,4,125,1.025,0.98,108.75,2175,422.623,408.059094456918
0,0,3,9,1,7,3,120,1.118,0.995,111.3,2226,928.43,826.441851856499
0,0,4,12,0,11,6,200,1,0.92,132,2640,822.38,752.418852767526
0,0,3,9,2,9,5,175,0.95,0.92,128.4,2568,1375.67,1230.92948559209
0,0,4,12,2,10,9,245,0.89,1.19,152.1,3042,156.23,124.603528240576
0,0,2,6,0,5,6,140,0.965,0.755,84.8,1696,1927.4,1853.14572897007
1,0,2,7,2,8,6,180,0.81,0.84,183.5,3670,1094.41,1042.78480296752
1,0,2,7,0,11,3,155,0.9,0.94,143,2860,1031.32,926.908332145094
0,0,5,5,1,10,7,210,0.72,0.67,137,2740,1788.31,1558.38186889478
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Closest Projects,,,,,,,,,,,,,
Index,Effort,,,,,,,,,,,,
#88,141.615,,,,,,,,,,,,
#72,149.43,,,,,,,,,,,,
,,,,,,,,,,,,,
Average,145.5225,,,,,,,,,,,,
