Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,,
0,2,1,7,4,15,14,380,1.05,0.95,338.05,6761,3655.22,3520.14559747179
0,2,1,7,0,15,10,300,0.85,0.89,336.25,6725,3615.445,3485.14865235688
1,0,2,7,1,16,9,300,1.02,1.085,334.5,6690,3531.19,3395.19145653084
0,2,1,7,0,18,8,300,1.08,0.77,330,6600,3393.3,3268.98899949204
2,1,1,7,0,17,8,290,0.94,1.02,323.7,6474,3419.21,3230.17879277603
0,0,2,6,0,13,15,355,0.95,0.92,321.65,6433,3324.19,3210.88025658074
1,0,2,7,1,13,10,285,0.78,0.79,320.8,6416,3328.3,3207.00391000697
0,1,2,8,0,14,10,290,0.94,1.02,320.6,6412,3383.22,3197.18173402764
0,0,2,6,4,20,9,355,0.9,0.94,320,6400,3267.22,3154.8979451323
1,0,2,7,1,10,12,285,0.71,0.73,318,6360,3323.19,3134.27615715335
0,0,2,6,0,13,15,355,0.9,0.91,316.85,6337,3505.27,3059.85637651508
2,2,4,18,1,20,27,610,0.72,0.67,312,6240,3134.37,3026.82210783852
1,0,2,7,1,11,11,280,0.78,0.51,311.6,6232,3076.17,2967.83793622563
1,0,2,7,1,14,9,280,1.03,0.8,308.65,6173,3135.26,2957.01387193229
0,0,2,6,0,12,15,345,1,0.92,308,6160,3085.385,2913.81623901114
0,0,2,6,2,15,12,340,1.095,0.95,305.85,6117,2961.24,2856.75113263301
2,1,1,7,2,13,9,275,0.75,0.81,303.1,6062,3203.17,2859.46865968138
0,2,5,19,1,27,15,500,1.03,0.8,302.55,6051,3194.27,2856.45655400183
1,1,5,18,3,26,15,500,0.72,0.67,302.4,6048,3182.22,2843.52281991898
0,3,4,18,2,19,20,500,0.85,0.89,301.75,6035,2920.06,2818.67912367655
0,0,2,6,1,19,5,270,0.965,0.755,301.2,6024,3131.21,2829.99770750791
0,0,6,18,20,25,9,485,0.85,0.88,301.15,6023,3217.453,2810.367432246
2,2,4,18,5,25,20,575,1.118,0.995,299.65,5993,3121.21,2793.25527378004
1,1,5,18,4,16,21,495,0.85,0.88,299.25,5985,3104.24,2778.81594097198
0,3,4,18,5,21,17,490,0.75,0.81,298.55,5971,3093.21,2769.85974773092
1,1,5,18,5,21,17,490,0.81,0.84,298.1,5962,3072.22,2751.94113806964
1,1,5,18,6,16,20,490,0.85,0.89,297.2,5944,3163.21,2757.81381251527
0,1,5,17,5,25,20,575,0.85,0.88,297,5940,2812.29,2721.51760172518
0,0,2,6,0,14,8,260,0.98,0.97,296.35,5927,3007.22,2692.2657794876
0,1,5,17,3,18,19,480,0.85,0.89,294.25,5885,3006.19,2689.76356330812
1,1,5,18,5,16,20,485,1.08,0.77,294.1,5882,2833.27,2676.41346673118
0,0,2,6,1,14,12,325,0.72,0.67,294,5880,3011.15,2687.80672900787
2,2,4,18,3,26,14,485,0.82,0.79,294,5880,2834.26,2672.63466452113
1,1,1,6,1,10,15,330,0.96,0.96,293.8,5876,2837.22,2669.67882476526
0,0,2,6,0,3,20,330,0.85,0.89,293.65,5873,2992.385,2672.87112946453
1,1,5,18,3,17,20,485,1.095,0.95,293.25,5865,2987.06,2670.39042131483
0,0,6,18,2,17,20,480,0.965,0.755,293.15,5863,2979.29,2663.41417291791
1,1,5,18,3,21,17,480,0.98,0.97,292.8,5856,2904.34,2605.74788899464
0,3,4,18,2,18,18,460,1.05,0.95,290,5800,3007.17,2608.85051616608
1,2,4,17,1,23,22,565,1.03,0.8,289.55,5791,2903.21,2589.30821519957
0,2,5,19,5,30,10,475,0.95,0.92,289.1,5782,2646.26,2572.34290847857
0,0,2,6,5,15,5,250,1,0.92,288.9,5778,2874.22,2580.82816696501
2,2,4,18,5,18,17,460,0.85,0.89,288.75,5775,382.04,234.750935248403
0,0,4,12,0,18,13,375,0.92,0.78,151.85,3037,1447.24,1295.66702273385
0,2,2,10,9,1,2,85,0.75,0.81,95.85,1917,2168.33,2035.59674211274
0,0,2,6,3,4,4,115,0.9,1.05,58.65,1173,2507.22,2464.13494504664
0,0,3,9,3,10,6,205,0.85,0.89,37.1,742,2680.15,2592.68355425416
0,0,4,12,4,5,6,160,0.82,0.79,30.7,614,2848.21,2715.94698484709
0,0,3,9,3,2,5,115,0.85,0.88,24.6,492,3089.37,2931.97699044518
0,0,2,6,3,7,0,85,0.78,0.51,13.85,277,746.3,490.734224198802
0,1,4,14,4,15,23,515,0.94,1.02,179.65,3593,1594.17,1525.53597653415
0,0,4,12,0,14,3,185,1.03,0.8,84.05,1681,1984.22,1863.74462955631
1,1,3,12,0,20,6,290,0.71,0.73,67.2,1344,2084.34,1987.21615859976
0,0,3,9,2,5,6,150,1.05,0.95,61,1220,2602.19,2487.42115897168
0,0,4,12,1,13,0,135,0.78,0.79,36,720,2889.26,2696.57950930433
0,2,0,4,2,2,2,60,0.96,0.96,25.7,514,2896.19,2809.61670505071
0,0,5,15,6,10,2,160,0.9,0.91,19.85,397,672.235,499.021084649737
0,0,5,15,0,13,15,355,1.125,0.77,184.2,3684,1341.19,1228.24713575892
2,2,4,18,4,2,7,145,1.08,0.77,99,1980,898.385,752.656677858504
1,1,3,12,1,8,16,325,1.095,0.95,197.5,3950,1445.445,1287.3636351183
0,0,2,6,0,3,4,90,1.02,1.085,96.25,1925,1152.345,1035.22851034204
0,0,3,9,1,6,4,125,1.025,0.98,108.75,2175,1104.453,984.91426237465
0,0,3,9,1,7,3,120,1.118,0.995,111.3,2226,620.26,566.83687141893
0,0,4,12,0,11,6,200,1,0.92,132,2640,710.21,639.720277386922
0,0,3,9,2,9,5,175,0.95,0.92,128.4,2568,233.48,168.674845190384
0,0,4,12,2,10,9,245,0.89,1.19,152.1,3042,1624.06,1512.10052650279
0,0,2,6,0,5,6,140,0.965,0.755,84.8,1696,533.21,465.975344948636
1,0,2,7,2,8,6,180,0.81,0.84,183.5,3670,442.22,352.167631107687
1,0,2,7,0,11,3,155,0.9,0.94,143,2860,513.27,466.777296898639
0,0,5,5,1,10,7,210,0.72,0.67,137,2740,328.12,200.299811282986
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Closest Projects,,,,,,,,,,,,,
Index,Effort,,,,,,,,,,,,
#93,233.4,,,,,,,,,,,,
#98,328.12,,,,,,,,,,,,
,,,,,,,,,,,,,
Average,280.76,,,,,,,,,,,,
